Year,Month,Temp
1998,January,M
1998,February,M
1998,March,M
1998,April,M
1998,May,M
1998,June,M
1998,July,68
1998,August,70.1
1998,September,66.2
1998,October,58.9
1998,November,51.4
1998,December,44.1
1998,AvTemp,59.8
1999,January,45.5
1999,February,47.1
1999,March,48.7
1999,April,55.2
1999,May,58.7
1999,June,64.3
1999,July,65.8
1999,August,67.5
1999,September,65.7
1999,October,61.9
1999,November,53.9
1999,December,47.1
1999,AvTemp,56.8
2000,January,48.3
2000,February,50.7
2000,March,52.9
2000,April,56.4
2000,May,61.2
2000,June,65.3
2000,July,65.7
2000,August,67.4
2000,September,66.8
2000,October,59
2000,November,49
2000,December,46.7
2000,AvTemp,57.5
2001,January,44.3
2001,February,48
2001,March,55.1
2001,April,53.2
2001,May,65.3
2001,June,68.2
2001,July,66.4
2001,August,68.2
2001,September,65.2
2001,October,62.8
2001,November,54
2001,December,48.8
2001,AvTemp,58.3
2002,January,45.4
2002,February,50.5
2002,March,51.3
2002,April,55.5
2002,May,59.5
2002,June,67.5
2002,July,67.5
2002,August,66.8
2002,September,66
2002,October,59.6
2002,November,54.1
2002,December,48.7
2002,AvTemp,57.7
2003,January,51.3
2003,February,49.5
2003,March,54
2003,April,51.1
2003,May,60.1
2003,June,65.9
2003,July,69.1
2003,August,67.9
2003,September,67.7
2003,October,63.5
2003,November,50.4
2003,December,48.4
2003,AvTemp,58.2
2004,January,47.7
2004,February,49.9
2004,March,59.3
2004,April,58.3
2004,May,62
2004,June,65.8
2004,July,66.9
2004,August,69
2004,September,68.3
2004,October,59.3
2004,November,51.5
2004,December,48.3
2004,AvTemp,58.9
2005,January,45.9
2005,February,52.3
2005,March,54.9
2005,April,54.5
2005,May,60.1
2005,June,63.7
2005,July,69
2005,August,66.9
2005,September,63.6
2005,October,59.9
2005,November,53.7
2005,December,48.8
2005,AvTemp,57.8
2006,January,48.5
2006,February,50
2006,March,48
2006,April,54.7
2006,May,60.9
2006,June,67.4
2006,July,71.3
2006,August,65.5
2006,September,64.7
2006,October,59.1
2006,November,52.6
2006,December,46.1
2006,AvTemp,57.4
2007,January,44.9
2007,February,48.9
2007,March,55.2
2007,April,56
2007,May,60.8
2007,June,65.5
2007,July,68.2
2007,August,68.1
2007,September,64.3
2007,October,57.8
2007,November,53.5
2007,December,45.9
2007,AvTemp,57.4
2008,January,45.6
2008,February,49.3
2008,March,51.9
2008,April,54.9
2008,May,61.9
2008,June,66.8
2008,July,67.7
2008,August,69.1
2008,September,65.2
2008,October,61.5
2008,November,54.5
2008,December,43.1
2008,AvTemp,57.6
2009,January,47.8
2009,February,48.1
2009,March,52.5
2009,April,55.3
2009,May,60.9
2009,June,63.8
2009,July,65.9
2009,August,67.3
2009,September,67.5
2009,October,59.9
2009,November,51.2
2009,December,44.7
2009,AvTemp,57.1
2010,January,47.8
2010,February,50.3
2010,March,51
2010,April,52.1
2010,May,56.6
2010,June,66.7
2010,July,65.4
2010,August,65.9
2010,September,67.3
2010,October,60.9
2010,November,52.8
2010,December,49.7
2010,AvTemp,57.2
2011,January,48.1
2011,February,48
2011,March,51.8
2011,April,55.9
2011,May,57.6
2011,June,63.3
2011,July,66.9
2011,August,67
2011,September,67.9
2011,October,61.6
2011,November,50.3
2011,December,46.5
2011,AvTemp,57.1
2012,January,47.7
2012,February,51.1
2012,March,50.8
2012,April,56.7
2012,May,62.1
2012,June,65.2
2012,July,66.9
2012,August,66.9
2012,September,64.1
2012,October,62.1
2012,November,54.3
2012,December,47.2
2012,AvTemp,57.9
2013,January,44.9
2013,February,49.5
2013,March,53.5
2013,April,60
2013,May,63.3
2013,June,66.8
2013,July,66.6
2013,August,67.7
2013,September,66
2013,October,59.3
2013,November,54.2
2013,December,44.5
2013,AvTemp,58
2014,January,49.9
2014,February,51.8
2014,March,56.1
2014,April,58.3
2014,May,64
2014,June,66.4
2014,July,68.5
2014,August,67.8
2014,September,67.2
2014,October,64.5
2014,November,55.7
2014,December,52.8
2014,AvTemp,60.3
2015,January,50.3
2015,February,54.9
2015,March,57.7
2015,April,57.8
2015,May,59.8
2015,June,67
2015,July,69.1
2015,August,70
2015,September,68.8
2015,October,66.2
2015,November,51.5
2015,December,47.3
2015,AvTemp,60
2016,January,50
2016,February,54.9
2016,March,55
2016,April,59.3
2016,May,61.7
2016,June,67
2016,July,67.7
2016,August,66.1
2016,September,66.7
2016,October,60.3
2016,November,54.6
2016,December,45.8
2016,AvTemp,59.1
2017,January,46.5
2017,February,51.3
2017,March,54.9
2017,April,56.5
2017,May,61.9
2017,June,67.7
2017,July,69.4
2017,August,69
2017,September,69.7
2017,October,62.2
2017,November,53.6
2017,December,46.6
2017,AvTemp,59.1
2018,January,49.5
2018,February,50.8
2018,March,51.5
2018,April,55.5
2018,May,61.5
2018,June,66.6
2018,July,68.7
2018,August,67.5
2018,September,65
2018,October,62.7
2018,November,53.6
2018,December,48.7
2018,AvTemp,58.5
2019,January,50
2019,February,46.4
2019,March,52
2019,April,59.6
2019,May,58.4
2019,June,66.9
2019,July,68.7
2019,August,70.9
2019,September,67.9
2019,October,60.3
2019,November,53.7
2019,December,49.9
2019,AvTemp,58.7
2020,January,48.8
2020,February,53.2
2020,March,51.3
2020,April,57.8
2020,May,62.2
2020,June,67.5
2020,July,67.5
2020,August,71
2020,September,70
2020,October,66.1
2020,November,51.4
2020,December,47.7
2020,AvTemp,59.5
2021,January,49.2
2021,February,50.8
2021,March,50.3
2021,April,55.2
2021,May,63.2
2021,June,66.3
2021,July,66.8
2021,August,67.4
2021,September,66.7
2021,October,59.4
2021,November,54.6
2021,December,46.5
2021,AvTemp,58
2022,January,48.9
2022,February,M
2022,March,M
2022,April,M
2022,May,M
2022,June,M
2022,July,M
2022,August,M
2022,September,M
2022,October,M
2022,November,M
2022,December,M
2022,AvTemp,48.9
