OID_,FOD_ID,FPA_ID,SOURCE_SYSTEM_TYPE,SOURCE_SYSTEM,NWCG_REPORTING_AGENCY,NWCG_REPORTING_UNIT_ID,NWCG_REPORTING_UNIT_NAME,SOURCE_REPORTING_UNIT,SOURCE_REPORTING_UNIT_NAME,LOCAL_FIRE_REPORT_ID,LOCAL_INCIDENT_ID,FIRE_CODE,FIRE_NAME,ICS_209_PLUS_INCIDENT_JOIN_ID,ICS_209_PLUS_COMPLEX_JOIN_ID,MTBS_ID,MTBS_FIRE_NAME,COMPLEX_NAME,FIRE_YEAR,DISCOVERY_DATE,DISCOVERY_DOY,DISCOVERY_TIME,NWCG_CAUSE_CLASSIFICATION,NWCG_GENERAL_CAUSE,NWCG_CAUSE_AGE_CATEGORY,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,OWNER_DESCR,STATE,COUNTY,FIPS_CODE,FIPS_NAME
22,400133927,SFO-2017CACDFLNU002444,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU002444,,STAGE GULCH RD / ADOBE RD,,,,,,2017,3/18/2017 0:00,77,747,Human,Debris and open burning,,,,,0.01,A,38.242731,-122.505542,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
23,400133928,SFO-2017CACDFLNU005033,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005033,,BEI RD  CAZADERO,,,,,,2017,6/8/2017 0:00,159,1218,Human,Debris and open burning,,,,,0.01,A,38.533609,-123.089892,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
24,400133929,SFO-2017CACDFLNU005808,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005808,,PETALUMA HILL RD  COTATI,,,,,,2017,6/26/2017 0:00,177,1132,Human,Debris and open burning,,,,,7,B,38.33848,-122.666858,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
25,400133930,SFO-2017CACDFLNU007717,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007717,,WILLOW CREEK RD / HWY 1,,,,,,2017,8/12/2017 0:00,224,1307,Human,Debris and open burning,,,,,0.01,A,38.434631,-123.101647,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
26,400133931,SFO-2017CACDFLNU007992,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007992,,HARRISON GRADE RD  OCCIDE,,,,,,2017,8/19/2017 0:00,231,1255,Human,Debris and open burning,,,,,0.1,A,38.417537,-122.936052,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
27,400133932,SFO-2017CACDFLNU008227,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008227,,SYLVAN WY  MONTE_RIO,,,,,,2017,8/26/2017 0:00,238,1026,Human,Debris and open burning,,,,,0.01,A,38.464465,-123.040312,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
28,400133933,SFO-2017CACDFLNU008283,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008283,,MADRONE,,,,,,2017,8/27/2017 0:00,239,1220,Human,Debris and open burning,,,,,0.12,A,38.338612,-122.512793,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
29,400133934,SFO-2017CACDFLNU008842,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008842,,HWY 1   JENNER,,,,,,2017,9/8/2017 0:00,251,2116,Human,Debris and open burning,,,,,0.01,A,38.321215,-122.909821,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
30,400133935,SFO-2017CACDFLNU009863,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009863,,EASTSIDE RD  WINDSOR,,,,,,2017,10/4/2017 0:00,277,933,Human,Debris and open burning,,,,,0.01,A,38.523705,-122.848217,MUNICIPAL/LOCAL,CA,SONOMA,6097,Sonoma County
31,400133936,SFO-2017CACDFLNU010503,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010503,,SEQUOIA RD  GUERNEVILLE,,,,,,2017,10/20/2017 0:00,293,1538,Human,Debris and open burning,,,,,0.01,A,38.523709,-122.983209,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
32,400133937,SFO-2017CACDFLNU010803,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010803,,TARWATER RD  SANTA_ROSA,,,,,,2017,10/29/2017 0:00,302,709,Human,Debris and open burning,,,,,0.01,A,38.51743,-122.60409,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
33,400133938,SFO-2017CACDFLNU011728,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU011728,,CANFIELD RD  BLOOMFIELD,,,,,,2017,11/22/2017 0:00,326,1417,Human,Debris and open burning,,,,,0.1,A,38.340081,-122.802889,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
34,400138635,SFO-2017CACDFLNU010224,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010224,,WESTSIDE,,,,,,2017,10/13/2017 0:00,286,1526,Human,Arson/incendiarism,,10/13/2017 0:00,286,1549,0.25,A,38.516359,-122.890911,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
35,400138654,SFO-2017CACDFLNU010345,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010345,,STUMP,,,,,,2017,10/16/2017 0:00,289,1944,Human,Arson/incendiarism,,10/16/2017 0:00,289,1955,0.01,A,38.583374,-123.33479,STATE,CA,SONOMA,6097,Sonoma County
36,400138675,SFO-2017CACDFLNU010432,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010432,,DRY CREEK RD  GEYSERVILLE,,,,,,2017,10/18/2017 0:00,291,1907,Human,Arson/incendiarism,,10/18/2017 0:00,291,1943,0.3,B,38.675817,-122.913517,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
37,400139454,SFO-2017CACDFLNU003917,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU003917,,GEYSERS RD / RIVER RD,,,,,,2017,5/6/2017 0:00,126,1710,Human,Arson/incendiarism,,,,,0.01,A,38.825755,-122.999624,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
38,400139455,SFO-2017CACDFLNU006799,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006799,,CHERRY,,,,,,2017,7/19/2017 0:00,200,2025,Human,Arson/incendiarism,,,,,0.01,A,38.499599,-123.022659,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
39,400139456,SFO-2017CACDFLNU007551,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007551,,EASTSIDE 2,,,,,,2017,8/7/2017 0:00,219,2018,Human,Arson/incendiarism,,,,,0.05,A,38.544517,-122.845317,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
40,400139457,SFO-2017CACDFLNU007949,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007949,,NEELEY,,,,,,2017,8/18/2017 0:00,230,1426,Human,Arson/incendiarism,,,,,0.01,A,38.489833,-123.004667,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
41,400139458,SFO-2017CACDFLNU010177,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010177,,EAST,,,,,,2017,10/12/2017 0:00,285,535,Human,Arson/incendiarism,,,,,0.8,B,38.532078,-122.848553,MUNICIPAL/LOCAL,CA,SONOMA,6097,Sonoma County
42,400145200,SFO-2017CACDFLNU004515,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004515,,GEYSERS,,,,,,2017,5/24/2017 0:00,144,1710,Human,Missing data/not specified/undetermined,,5/24/2017 0:00,144,2255,9.5,B,38.826967,-123.001017,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
43,400146351,SFO-2017CACDFLNU005809,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005809,,CLOVERDALE,,,,,,2017,6/26/2017 0:00,177,1146,Human,Missing data/not specified/undetermined,,6/26/2017 0:00,177,1532,2.31,B,38.83592,-123.02065,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
44,400146558,SFO-2017CACDFLNU005992,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005992,,ARMSTRONG WOODS RD / PALO,,,,,,2017,6/30/2017 0:00,181,1640,Human,Missing data/not specified/undetermined,,6/30/2017 0:00,181,1647,0.01,A,38.502857,-122.997565,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
45,400146638,SFO-2017CACDFLNU006060,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006060,,MOUNTAIN,,,,,,2017,7/2/2017 0:00,183,1241,Human,Missing data/not specified/undetermined,,7/2/2017 0:00,183,1345,3.4,B,38.374693,-122.624682,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
46,400146809,SFO-2017CACDFLNU006178,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006178,,JEWETT,,,,,,2017,7/4/2017 0:00,185,1719,Human,Missing data/not specified/undetermined,,7/4/2017 0:00,185,1730,0.3,B,38.285869,-122.709969,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
47,400147701,SFO-2017CACDFLNU006844,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006844,,CLOVERDALE,,,,,,2017,7/21/2017 0:00,202,1318,Human,Missing data/not specified/undetermined,,7/21/2017 0:00,202,1420,2.5,B,38.832793,-123.016522,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
48,400148107,SFO-2017CACDFLNU007254,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007254,,INDEPENDENCE,,,,,,2017,7/31/2017 0:00,212,1107,Human,Missing data/not specified/undetermined,,7/31/2017 0:00,212,1736,4.25,B,38.679894,-122.880806,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
49,400148108,SFO-2017CACDFLNU007256,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007256,,INDEPENDENCE 2,,,,,,2017,7/31/2017 0:00,212,1135,Human,Missing data/not specified/undetermined,,7/31/2017 0:00,212,1736,2.5,B,38.679894,-122.880806,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
50,400148200,SFO-2017CACDFLNU007364,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007364,,LAKEVILLE,,,,,,2017,8/3/2017 0:00,215,1121,Human,Missing data/not specified/undetermined,,8/3/2017 0:00,215,1221,37,C,38.152196,-122.487576,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
51,400148709,SFO-2017CACDFLNU008072,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008072,,HIATT,,,,,,2017,8/21/2017 0:00,233,1631,Human,Missing data/not specified/undetermined,,8/21/2017 0:00,233,1703,0.34,B,38.76614,-123.016995,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
52,400148825,SFO-2017CACDFLNU008194,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008194,,FREESTONE,,,,,,2017,8/25/2017 0:00,237,1236,Human,Missing data/not specified/undetermined,,8/25/2017 0:00,237,1259,0.5,B,38.378034,-122.926386,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
53,400148931,SFO-2017CACDFLNU008288,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008288,,BODEGA,,,,,,2017,8/27/2017 0:00,239,1317,Human,Missing data/not specified/undetermined,,8/28/2017 0:00,240,1248,18,C,38.263567,-122.723223,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
54,400148998,SFO-2017CACDFLNU008433,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008433,,BENNETT,,,,,,2017,8/30/2017 0:00,242,1636,Human,Missing data/not specified/undetermined,,8/30/2017 0:00,242,1701,1,B,38.386222,-122.600533,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
55,400149075,SFO-2017CACDFLNU008539,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU008539,,LILA,,,,,,2017,9/1/2017 0:00,244,1837,Human,Missing data/not specified/undetermined,,9/1/2017 0:00,244,1855,1.2,B,38.264762,-122.60175,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
56,400149504,SFO-2017CACDFLNU009078,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009078,,SHAHAN,,,,,,2017,9/14/2017 0:00,257,1400,Human,Missing data/not specified/undetermined,,9/14/2017 0:00,257,1435,1,B,38.814588,-123.020862,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
57,400149616,SFO-2017CACDFLNU009251,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009251,,GULCH,,,,,,2017,9/18/2017 0:00,261,1759,Human,Missing data/not specified/undetermined,,9/18/2017 0:00,261,1908,9,B,38.22201,-122.538851,STATE,CA,SONOMA,6097,Sonoma County
58,400149779,SFO-2017CACDFLNU009480,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009480,,JOY,,,,,,2017,9/24/2017 0:00,267,1648,Human,Missing data/not specified/undetermined,,9/24/2017 0:00,267,2200,1,B,38.384154,-122.967747,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
59,400149929,SFO-2017CACDFLNU009772,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009772,,TRINITY,,,,,,2017,10/2/2017 0:00,275,417,Human,Missing data/not specified/undetermined,,10/2/2017 0:00,275,553,0.1,A,38.386886,-122.493344,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
60,400149950,SFO-2017CACDFLNU009816,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU009816,,OLD,,,,,,2017,10/3/2017 0:00,276,505,Human,Missing data/not specified/undetermined,,10/3/2017 0:00,276,539,0.35,B,38.514873,-122.98337,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
61,400150183,SFO-2017CACDFLNU010267,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU010267,,SKAGGS,,,,,,2017,10/14/2017 0:00,287,1914,Human,Missing data/not specified/undetermined,,10/14/2017 0:00,287,2004,0.5,B,38.651906,-123.399441,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
62,400154267,SFO-2017CACDFLNU002259,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU002259,,IRIS,,,,,,2017,3/11/2017 0:00,70,1530,Human,Missing data/not specified/undetermined,,,,,0.1,A,38.716622,-123.456328,COUNTY,CA,SONOMA,6097,Sonoma County
63,400154268,SFO-2017CACDFLNU004120,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004120,,RIDGE OAKS RD  GEYSERVILL,,,,,,2017,5/13/2017 0:00,133,1457,Human,Missing data/not specified/undetermined,,,,,0.01,A,38.732349,-122.902506,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
64,400154269,SFO-2017CACDFLNU004176,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004176,,BODEGA AV  TWO_ROCK,,,,,,2017,5/15/2017 0:00,135,1433,Human,Missing data/not specified/undetermined,,,,,0.01,A,38.257701,-122.779665,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
65,400154270,SFO-2017CACDFLNU004325,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004325,,SWEETWATER,,,,,,2017,5/19/2017 0:00,139,1614,Human,Missing data/not specified/undetermined,,,,,0.75,B,38.545759,-122.980809,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
66,400154271,SFO-2017CACDFLNU004364,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004364,,FORT ROSS RD  FORT_ROSS,,,,,,2017,5/20/2017 0:00,140,1511,Human,Missing data/not specified/undetermined,,,,,0.25,A,38.525946,-123.175197,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
67,400154272,SFO-2017CACDFLNU004382,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004382,,VIEWCREST DR  SONOMA,,,,,,2017,5/21/2017 0:00,141,132,Human,Missing data/not specified/undetermined,,,,,0.2,A,38.299675,-122.553128,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
68,400154273,SFO-2017CACDFLNU004580,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004580,,BONNESS RD  SCHELLVILLE,,,,,,2017,5/26/2017 0:00,146,1652,Human,Missing data/not specified/undetermined,,,,,0.05,A,38.248537,-122.482333,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
69,400154274,SFO-2017CACDFLNU004650,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004650,,PEPPER RD  PETALUMA,,,,,,2017,5/28/2017 0:00,148,1439,Human,Missing data/not specified/undetermined,,,,,0.01,A,38.283661,-122.705652,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
70,400154275,SFO-2017CACDFLNU004876,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU004876,,TREATMENT,,,,,,2017,6/3/2017 0:00,154,1632,Human,Missing data/not specified/undetermined,,,,,0.15,A,38.800613,-123.012933,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
71,400154276,SFO-2017CACDFLNU005283,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005283,,YURT,,,,,,2017,6/15/2017 0:00,166,1146,Human,Missing data/not specified/undetermined,,,,,0.6,B,38.784167,-122.965278,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
72,400154277,SFO-2017CACDFLNU005358,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005358,,MARK WEST SPRINGS RD  SAN,,,,,,2017,6/16/2017 0:00,167,1952,Human,Missing data/not specified/undetermined,,,,,0.03,A,38.548256,-122.720649,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
73,400154278,SFO-2017CACDFLNU005396,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005396,,CANYON,,,,,,2017,6/17/2017 0:00,168,1706,Human,Missing data/not specified/undetermined,,,,,0.01,A,38.522011,-122.982573,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
74,400154279,SFO-2017CACDFLNU005984,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU005984,,ROBLAR,,,,,,2017,6/30/2017 0:00,181,1252,Human,Missing data/not specified/undetermined,,,,,6,B,38.301133,-122.71545,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
75,400154280,SFO-2017CACDFLNU006891,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU006891,,SIRI,,,,,,2017,7/22/2017 0:00,203,1723,Human,Missing data/not specified/undetermined,,,,,0.01,A,38.487452,-123.025468,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
76,400154281,SFO-2017CACDFLNU007012,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007012,,SPRINGS,,,,,,2017,7/25/2017 0:00,206,1515,Human,Missing data/not specified/undetermined,,,,,2.36,B,38.371146,-122.537311,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
77,400154282,SFO-2017CACDFLNU007014,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007014,,WOLF RUN / WARM SPRINGS R,,,,,,2017,7/25/2017 0:00,206,1536,Human,Missing data/not specified/undetermined,,,,,0.5,B,38.370896,-122.537514,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
78,400154283,SFO-2017CACDFLNU007283,NONFED,ST-NASF,ST/C&L,USCACDF,California Department of Forestry & Fire Protection,CACDF,"Headquarters, California Department of Forestry & Fire Protection",,LNU007283,,CHALK HILL RD / WRIGHT RA,,,,,,2017,8/1/2017 0:00,213,1008,Human,Missing data/not specified/undetermined,,,,,0.04,A,38.582222,-122.764444,MISSING/NOT SPECIFIED,CA,SONOMA,6097,Sonoma County
